Country or territory of asylum or residence,"Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Spain","Pakistan","2012","124","0","124","0"
"Spain","Peru","2012","3","0","3","0"
"Spain","Rep. of Moldova","2012","4","0","4","0"
"Spain","Romania","2012","4","0","4","0"
"Spain","Russian Federation","2012","268","0","268","0"
"Spain","Rwanda","2012","14","0","14","0"
"Spain","Senegal","2012","2","0","2","0"
"Spain","Serbia (and Kosovo: S/RES/1244 (1999))","2012","16","0","16","0"
"Spain","Sierra Leone","2012","22","0","22","0"
"Spain","Somalia","2012","196","0","196","0"
"Spain","Sri Lanka","2012","71","0","71","0"
"Spain","State of Palestine","2012","298","0","298","0"
"Spain","Stateless","2012","108","0","108","0"
"Spain","Sudan","2012","44","0","44","0"
"Spain","Syrian Arab Rep.","2012","32","0","32","0"
"Spain","Togo","2012","12","0","12","0"
"Spain","Tunisia","2012","6","0","6","0"
"Spain","Turkey","2012","8","0","8","0"
"Spain","Ukraine","2012","10","0","10","0"
"Spain","Uzbekistan","2012","7","0","7","0"
"Spain","Various","2012","95","0","95","0"
"Spain","Venezuela (Bolivarian Republic of)","2012","44","0","44","0"
"Spain","Viet Nam","2012","5","0","5","0"
"Spain","Western Sahara","2012","9","0","9","0"
"Spain","Yemen","2012","5","0","5","0"
"Spain","Zimbabwe","2012","2","0","2","0"
"Sweden","Afghanistan","2012","8454","0","8454","0"
"Sweden","Albania","2012","209","0","209","0"
"Sweden","Algeria","2012","66","0","66","0"
"Sweden","Angola","2012","80","0","80","0"
"Sweden","Argentina","2012","2","0","2","0"
"Sweden","Armenia","2012","548","0","548","0"
"Sweden","Australia","2012","2","0","2","0"
"Sweden","Azerbaijan","2012","834","0","834","0"
"Sweden","Bahrain","2012","1","0","1","0"
"Sweden","Bangladesh","2012","251","0","251","0"
"Sweden","Belarus","2012","188","0","188","0"
"Sweden","Belgium","2012","13","0","13","0"
"Sweden","Benin","2012","5","0","5","0"
"Sweden","Bhutan","2012","9","0","9","0"
"Sweden","Bolivia (Plurinational State of)","2012","36","0","36","0"
"Sweden","Bosnia and Herzegovina","2012","1239","0","1239","0"
"Sweden","Brazil","2012","4","0","4","0"
"Sweden","Bulgaria","2012","33","0","33","0"
"Sweden","Burkina Faso","2012","3","0","3","0"
"Sweden","Burundi","2012","1203","0","1203","0"
"Sweden","Cambodia","2012","5","0","5","0"
"Sweden","Cameroon","2012","80","0","80","0"
"Sweden","Central African Rep.","2012","0","0","0","0"
"Sweden","Chad","2012","8","0","8","0"
"Sweden","Chile","2012","30","0","30","0"
"Sweden","China","2012","255","0","255","0"
"Sweden","Colombia","2012","60","0","60","0"
"Sweden","Congo","2012","60","0","60","0"
"Sweden","Costa Rica","2012","0","0","0","0"
"Sweden","Côte d'Ivoire","2012","59","0","59","0"
"Sweden","Croatia","2012","46","0","46","0"
"Sweden","Cuba","2012","88","0","88","0"
"Sweden","Czech Rep.","2012","2","0","2","0"
"Sweden","Dem. People's Rep. of Korea","2012","7","0","7","0"
"Sweden","Dem. Rep. of the Congo","2012","287","0","287","0"
"Sweden","Denmark","2012","1","0","1","0"
"Sweden","Djibouti","2012","1","0","1","0"
"Sweden","Ecuador","2012","50","0","50","0"
"Sweden","Egypt","2012","142","0","142","0"
"Sweden","El Salvador","2012","43","0","43","0"
"Sweden","Equatorial Guinea","2012","3","0","3","0"
"Sweden","Eritrea","2012","6414","0","6414","0"
"Sweden","Estonia","2012","5","0","5","0"
"Sweden","Ethiopia","2012","452","0","452","0"
"Sweden","France","2012","1","0","1","0"
"Sweden","Gambia","2012","45","0","45","0"
"Sweden","Georgia","2012","170","0","170","0"
"Sweden","Germany","2012","6","0","6","0"
"Sweden","Ghana","2012","21","0","21","0"
"Sweden","Greece","2012","1","0","1","0"
"Sweden","Guatemala","2012","10","0","10","0"
"Sweden","Guinea","2012","61","0","61","0"
"Sweden","Guinea-Bissau","2012","4","0","4","0"
"Sweden","Haiti","2012","1","0","1","0"
"Sweden","Honduras","2012","17","0","17","0"
"Sweden","Hungary","2012","1","0","1","0"
"Sweden","India","2012","51","0","51","0"
"Sweden","Indonesia","2012","6","0","6","0"
"Sweden","Iraq","2012","24741","0","24741","0"
"Sweden","Islamic Rep. of Iran","2012","2992","0","2992","0"
"Sweden","Israel","2012","30","0","30","0"
"Sweden","Italy","2012","3","0","3","0"
"Sweden","Jordan","2012","316","0","316","0"
"Sweden","Kazakhstan","2012","306","0","306","0"
"Sweden","Kenya","2012","68","0","68","0"
"Sweden","Kiribati","2012","29","0","29","0"
"Sweden","Kuwait","2012","9","0","9","0"
"Sweden","Kyrgyzstan","2012","174","0","174","0"
"Sweden","Lao People's Dem. Rep.","2012","6","0","6","0"
"Sweden","Latvia","2012","11","0","11","0"
"Sweden","Lebanon","2012","380","0","380","0"
"Sweden","Liberia","2012","30","0","30","0"
"Sweden","Libya","2012","355","0","355","0"
"Sweden","Lithuania","2012","10","0","10","0"
"Sweden","Malaysia","2012","5","0","5","0"
"Sweden","Mali","2012","10","0","10","0"
"Sweden","Mauritania","2012","6","0","6","0"
"Sweden","Mongolia","2012","158","0","158","0"
"Sweden","Montenegro","2012","49","0","49","0"
"Sweden","Morocco","2012","65","0","65","0"
"Sweden","Myanmar","2012","49","0","49","0"
"Sweden","Namibia","2012","0","0","0","0"
"Sweden","Nepal","2012","22","0","22","0"
"Sweden","Netherlands","2012","4","0","4","0"
"Sweden","Nicaragua","2012","6","0","6","0"
"Sweden","Niger","2012","3","0","3","0"
"Sweden","Nigeria","2012","178","0","178","0"
"Sweden","Norway","2012","3","0","3","0"
"Sweden","Pakistan","2012","209","0","209","0"
"Sweden","Peru","2012","40","0","40","0"
"Sweden","Philippines","2012","33","0","33","0"
"Sweden","Poland","2012","4","0","4","0"
"Sweden","Rep. of Korea","2012","8","0","8","0"
"Sweden","Rep. of Moldova","2012","12","0","12","0"
"Sweden","Romania","2012","38","0","38","0"
"Sweden","Russian Federation","2012","1770","0","1770","0"
"Sweden","Rwanda","2012","41","0","41","0"
"Sweden","Saudi Arabia","2012","8","0","8","0"
"Sweden","Senegal","2012","11","0","11","0"
"Sweden","Serbia (and Kosovo: S/RES/1244 (1999))","2012","4315","0","4315","0"
"Sweden","Sierra Leone","2012","44","0","44","0"
"Sweden","Singapore","2012","2","0","2","0"
"Sweden","Slovakia","2012","8","0","8","0"
"Sweden","Slovenia","2012","1","0","1","0"
"Sweden","Somalia","2012","19416","0","19416","0"
"Sweden","South Africa","2012","1","0","1","0"
"Sweden","Spain","2012","1","0","1","0"
"Sweden","Sri Lanka","2012","42","0","42","0"
"Sweden","Stateless","2012","4948","0","4948","0"
"Sweden","Sudan","2012","295","0","295","0"
"Sweden","Syrian Arab Rep.","2012","6051","0","6051","0"
"Sweden","Tajikistan","2012","38","0","38","0"
"Sweden","Thailand","2012","14","0","14","0"
"Sweden","The former Yugoslav Rep. of Macedonia","2012","118","0","118","0"
"Sweden","Togo","2012","17","0","17","0"
"Sweden","Tunisia","2012","41","0","41","0"
"Sweden","Turkey","2012","503","0","503","0"
"Sweden","Turkmenistan","2012","61","0","61","0"
"Sweden","Uganda","2012","191","0","191","0"
"Sweden","Ukraine","2012","111","0","111","0"
"Sweden","United Kingdom","2012","4","0","4","0"
"Sweden","United Rep. of Tanzania","2012","19","0","19","0"
"Sweden","United States","2012","10","0","10","0"
"Sweden","Uruguay","2012","1","0","1","0"
"Sweden","Uzbekistan","2012","1487","0","1487","0"
"Sweden","Various","2012","750","0","750","0"
"Sweden","Venezuela (Bolivarian Republic of)","2012","6","0","6","0"
"Sweden","Viet Nam","2012","82","0","82","0"
"Sweden","Yemen","2012","390","0","390","0"
"Sweden","Zambia","2012","4","0","4","0"
"Sweden","Zimbabwe","2012","36","0","36","0"
"Switzerland","Afghanistan","2012","2099","0","2099","0"
"Switzerland","Albania","2012","49","0","49","0"
"Switzerland","Algeria","2012","195","0","195","0"
"Switzerland","Angola","2012","1176","0","1176","0"
"Switzerland","Argentina","2012","1","0","1","0"
"Switzerland","Armenia","2012","66","0","66","0"
"Switzerland","Austria","2012","3","0","3","0"
"Switzerland","Azerbaijan","2012","67","0","67","0"
"Switzerland","Bahrain","2012","1","0","1","0"
"Switzerland","Bangladesh","2012","58","0","58","0"
"Switzerland","Belarus","2012","30","0","30","0"
"Switzerland","Benin","2012","29","0","29","0"
"Switzerland","Bhutan","2012","1","0","1","0"
"Switzerland","Bolivia (Plurinational State of)","2012","10","0","10","0"
"Switzerland","Bosnia and Herzegovina","2012","2795","0","2795","0"
"Switzerland","Brazil","2012","6","0","6","0"
"Switzerland","Bulgaria","2012","17","0","17","0"
"Switzerland","Burkina Faso","2012","10","0","10","0"
"Switzerland","Burundi","2012","81","0","81","0"
"Switzerland","Cabo Verde","2012","1","0","1","0"
"Switzerland","Cambodia","2012","376","0","376","0"
"Switzerland","Cameroon","2012","178","0","178","0"
"Switzerland","Canada","2012","1","0","1","0"
"Switzerland","Central African Rep.","2012","6","0","6","0"
"Switzerland","Chad","2012","48","0","48","0"
"Switzerland","Chile","2012","14","0","14","0"
"Switzerland","China","2012","1662","0","1662","0"
"Switzerland","Colombia","2012","327","0","327","0"
"Switzerland","Congo","2012","85","0","85","0"
"Switzerland","Côte d'Ivoire","2012","126","0","126","0"
"Switzerland","Croatia","2012","45","0","45","0"
"Switzerland","Cuba","2012","38","0","38","0"
"Switzerland","Czech Rep.","2012","8","0","8","0"
"Switzerland","Dem. People's Rep. of Korea","2012","4","0","4","0"
"Switzerland","Dem. Rep. of the Congo","2012","1357","0","1357","0"
"Switzerland","Djibouti","2012","5","0","5","0"
"Switzerland","Dominican Rep.","2012","1","0","1","0"
"Switzerland","Ecuador","2012","10","0","10","0"
"Switzerland","Egypt","2012","46","0","46","0"
"Switzerland","Eritrea","2012","10981","0","10981","0"
"Switzerland","Ethiopia","2012","615","0","615","0"
"Switzerland","Fiji","2012","0","0","0","0"
"Switzerland","France","2012","1","0","1","0"
"Switzerland","Gabon","2012","5","0","5","0"
"Switzerland","Gambia","2012","32","0","32","0"
"Switzerland","Georgia","2012","85","0","85","0"
"Switzerland","Germany","2012","2","0","2","0"
"Switzerland","Ghana","2012","8","0","8","0"
"Switzerland","Guinea","2012","96","0","96","0"
"Switzerland","Guinea-Bissau","2012","25","0","25","0"
"Switzerland","Haiti","2012","1","0","1","0"
"Switzerland","Hungary","2012","10","0","10","0"
"Switzerland","India","2012","43","0","43","0"
"Switzerland","Indonesia","2012","0","0","0","0"
"Switzerland","Iraq","2012","4120","0","4120","0"
"Switzerland","Islamic Rep. of Iran","2012","1356","0","1356","0"
"Switzerland","Israel","2012","1","0","1","0"
"Switzerland","Italy","2012","7","0","7","0"
"Switzerland","Jordan","2012","20","0","20","0"
"Switzerland","Kazakhstan","2012","12","0","12","0"
"Switzerland","Kenya","2012","47","0","47","0"
"Switzerland","Kyrgyzstan","2012","16","0","16","0"
"Switzerland","Lao People's Dem. Rep.","2012","154","0","154","0"
"Switzerland","Latvia","2012","3","0","3","0"
"Switzerland","Lebanon","2012","41","0","41","0"
"Switzerland","Liberia","2012","50","0","50","0"
"Switzerland","Libya","2012","208","0","208","0"
"Switzerland","Madagascar","2012","3","0","3","0"
"Switzerland","Malaysia","2012","2","0","2","0"
"Switzerland","Maldives","2012","0","0","0","0"
"Switzerland","Mali","2012","9","0","9","0"
"Switzerland","Mauritania","2012","2","0","2","0"
"Switzerland","Mexico","2012","1","0","1","0"
"Switzerland","Mongolia","2012","50","0","50","0"
"Switzerland","Montenegro","2012","35","0","35","0"
"Switzerland","Morocco","2012","27","0","27","0"
"Switzerland","Mozambique","2012","0","0","0","0"
"Switzerland","Myanmar","2012","46","0","46","0"
"Switzerland","Nepal","2012","8","0","8","0"
"Switzerland","Niger","2012","10","0","10","0"
"Switzerland","Nigeria","2012","92","0","92","0"
"Switzerland","Pakistan","2012","99","0","99","0"
"Switzerland","Paraguay","2012","1","0","1","0"
"Switzerland","Peru","2012","11","0","11","0"
"Switzerland","Philippines","2012","2","0","2","0"
"Switzerland","Poland","2012","9","0","9","0"
"Switzerland","Portugal","2012","5","0","5","0"
"Switzerland","Qatar","2012","0","0","0","0"
"Switzerland","Rep. of Moldova","2012","17","0","17","0"
"Switzerland","Romania","2012","27","0","27","0"
"Switzerland","Russian Federation","2012","599","0","599","0"
"Switzerland","Rwanda","2012","176","0","176","0"
"Switzerland","Saudi Arabia","2012","2","0","2","0"
"Switzerland","Senegal","2012","10","0","10","0"
"Switzerland","Serbia (and Kosovo: S/RES/1244 (1999))","2012","4083","0","4083","0"
"Switzerland","Sierra Leone","2012","39","0","39","0"
"Switzerland","Slovakia","2012","2","0","2","0"
"Switzerland","Slovenia","2012","0","0","0","0"
"Switzerland","Somalia","2012","4135","0","4135","0"
"Switzerland","South Africa","2012","2","0","2","0"
"Switzerland","South Sudan","2012","0","0","0","0"
"Switzerland","Spain","2012","3","0","3","0"
"Switzerland","Sri Lanka","2012","3117","0","3117","0"
"Switzerland","State of Palestine","2012","109","0","109","0"
"Switzerland","Stateless","2012","107","0","107","0"
"Switzerland","Sudan","2012","155","0","155","0"
"Switzerland","Syrian Arab Rep.","2012","1391","0","1391","0"
"Switzerland","Tajikistan","2012","6","0","6","0"
"Switzerland","The former Yugoslav Rep. of Macedonia","2012","163","0","163","0"
"Switzerland","Togo","2012","696","0","696","0"
"Switzerland","Tunisia","2012","369","0","369","0"
"Switzerland","Turkey","2012","3926","0","3926","0"
"Switzerland","Turkmenistan","2012","9","0","9","0"
"Switzerland","Uganda","2012","32","0","32","0"
"Switzerland","Ukraine","2012","16","0","16","0"
"Switzerland","United Rep. of Tanzania","2012","15","0","15","0"
"Switzerland","United States","2012","1","0","1","0"
"Switzerland","Uzbekistan","2012","54","0","54","0"
"Switzerland","Various","2012","474","0","474","0"
"Switzerland","Venezuela (Bolivarian Republic of)","2012","3","0","3","0"
"Switzerland","Viet Nam","2012","1340","0","1340","0"
"Switzerland","Western Sahara","2012","4","0","4","0"
"Switzerland","Yemen","2012","268","0","268","0"
"Switzerland","Zimbabwe","2012","14","0","14","0"
"United Kingdom","Afghanistan","2012","9842","0","9842","0"
"United Kingdom","Albania","2012","1136","0","1136","0"
"United Kingdom","Algeria","2012","635","0","635","0"
"United Kingdom","Angola","2012","1156","0","1156","0"
"United Kingdom","Antigua and Barbuda","2012","1","0","1","0"
"United Kingdom","Argentina","2012","1","0","1","0"
"United Kingdom","Armenia","2012","30","0","30","0"
"United Kingdom","Azerbaijan","2012","86","0","86","0"
"United Kingdom","Bahrain","2012","101","0","101","0"
"United Kingdom","Bangladesh","2012","1426","0","1426","0"
"United Kingdom","Barbados","2012","1","0","1","0"
"United Kingdom","Belarus","2012","144","0","144","0"
"United Kingdom","Belize","2012","2","0","2","0"
"United Kingdom","Benin","2012","10","0","10","0"
"United Kingdom","Bhutan","2012","100","0","100","0"
"United Kingdom","Bolivia (Plurinational State of)","2012","19","0","19","0"
"United Kingdom","Bosnia and Herzegovina","2012","55","0","55","0"
"United Kingdom","Botswana","2012","11","0","11","0"
"United Kingdom","Brazil","2012","9","0","9","0"
"United Kingdom","Bulgaria","2012","11","0","11","0"
"United Kingdom","Burkina Faso","2012","6","0","6","0"
"United Kingdom","Burundi","2012","889","0","889","0"
"United Kingdom","Cameroon","2012","763","0","763","0"
"United Kingdom","Canada","2012","3","0","3","0"
"United Kingdom","Central African Rep.","2012","4","0","4","0"
"United Kingdom","Chad","2012","46","0","46","0"
"United Kingdom","Chile","2012","1","0","1","0"
"United Kingdom","China","2012","2155","0","2155","0"
"United Kingdom","Colombia","2012","341","0","341","0"
"United Kingdom","Comoros","2012","2","0","2","0"
"United Kingdom","Congo","2012","502","0","502","0"
"United Kingdom","Cook Islands","2012","1","0","1","0"
"United Kingdom","Côte d'Ivoire","2012","548","0","548","0"
"United Kingdom","Croatia","2012","16","0","16","0"
"United Kingdom","Cuba","2012","16","0","16","0"
"United Kingdom","Cyprus","2012","3","0","3","0"
"United Kingdom","Czech Rep.","2012","35","0","35","0"
"United Kingdom","Dem. People's Rep. of Korea","2012","619","0","619","0"
"United Kingdom","Dem. Rep. of the Congo","2012","3311","0","3311","0"
"United Kingdom","Djibouti","2012","2","0","2","0"
"United Kingdom","Dominica","2012","2","0","2","0"
"United Kingdom","Ecuador","2012","97","0","97","0"
"United Kingdom","Egypt","2012","204","0","204","0"
"United Kingdom","El Salvador","2012","3","0","3","0"
"United Kingdom","Equatorial Guinea","2012","1","0","1","0"
"United Kingdom","Eritrea","2012","9901","0","9901","0"
"United Kingdom","Estonia","2012","1","0","1","0"
"United Kingdom","Ethiopia","2012","1508","0","1508","0"
"United Kingdom","Fiji","2012","8","0","8","0"
"United Kingdom","France","2012","1","0","1","0"
"United Kingdom","Gambia","2012","794","0","794","0"
"United Kingdom","Georgia","2012","66","0","66","0"
"United Kingdom","Germany","2012","1","0","1","0"
"United Kingdom","Ghana","2012","201","0","201","0"
"United Kingdom","Grenada","2012","5","0","5","0"
"United Kingdom","Guatemala","2012","3","0","3","0"
"United Kingdom","Guinea","2012","413","0","413","0"
"United Kingdom","Guinea-Bissau","2012","9","0","9","0"
"United Kingdom","Guyana","2012","12","0","12","0"
"United Kingdom","Honduras","2012","16","0","16","0"
"United Kingdom","Hong Kong SAR, China","2012","1","0","1","0"
"United Kingdom","India","2012","347","0","347","0"
"United Kingdom","Indonesia","2012","8","0","8","0"
"United Kingdom","Iraq","2012","5752","0","5752","0"
"United Kingdom","Ireland","2012","1","0","1","0"
"United Kingdom","Islamic Rep. of Iran","2012","11428","0","11428","0"
"United Kingdom","Israel","2012","12","0","12","0"
"United Kingdom","Jamaica","2012","472","0","472","0"
"United Kingdom","Japan","2012","2","0","2","0"
"United Kingdom","Jordan","2012","27","0","27","0"
"United Kingdom","Kazakhstan","2012","5","0","5","0"
"United Kingdom","Kenya","2012","469","0","469","0"
"United Kingdom","Kuwait","2012","599","0","599","0"
"United Kingdom","Kyrgyzstan","2012","21","0","21","0"
"United Kingdom","Latvia","2012","1","0","1","0"
"United Kingdom","Lebanon","2012","107","0","107","0"
"United Kingdom","Lesotho","2012","1","0","1","0"
"United Kingdom","Liberia","2012","307","0","307","0"
"United Kingdom","Libya","2012","655","0","655","0"
"United Kingdom","Lithuania","2012","7","0","7","0"
"United Kingdom","Malawi","2012","171","0","171","0"
"United Kingdom","Malaysia","2012","50","0","50","0"
"United Kingdom","Maldives","2012","9","0","9","0"
"United Kingdom","Mali","2012","13","0","13","0"
"United Kingdom","Mauritania","2012","9","0","9","0"
"United Kingdom","Mauritius","2012","25","0","25","0"
"United Kingdom","Mexico","2012","4","0","4","0"
"United Kingdom","Mongolia","2012","83","0","83","0"
"United Kingdom","Morocco","2012","90","0","90","0"
"United Kingdom","Mozambique","2012","3","0","3","0"
"United Kingdom","Myanmar","2012","862","0","862","0"
"United Kingdom","Namibia","2012","5","0","5","0"
"United Kingdom","Nepal","2012","119","0","119","0"
"United Kingdom","Nicaragua","2012","1","0","1","0"
"United Kingdom","Niger","2012","5","0","5","0"
"United Kingdom","Nigeria","2012","1163","0","1163","0"
"United Kingdom","Oman","2012","5","0","5","0"
"United Kingdom","Pakistan","2012","4749","0","4749","0"
"United Kingdom","Panama","2012","3","0","3","0"
"United Kingdom","Peru","2012","3","0","3","0"
"United Kingdom","Philippines","2012","3","0","3","0"
"United Kingdom","Poland","2012","51","0","51","0"
"United Kingdom","Qatar","2012","2","0","2","0"
"United Kingdom","Rep. of Korea","2012","5","0","5","0"
"United Kingdom","Rep. of Moldova","2012","162","0","162","0"
"United Kingdom","Romania","2012","233","0","233","0"
"United Kingdom","Russian Federation","2012","1105","0","1105","0"
"United Kingdom","Rwanda","2012","431","0","431","0"
"United Kingdom","Saint Lucia","2012","4","0","4","0"
"United Kingdom","Saint Vincent and the Grenadines","2012","5","0","5","0"
"United Kingdom","Saudi Arabia","2012","37","0","37","0"
"United Kingdom","Senegal","2012","42","0","42","0"
"United Kingdom","Serbia (and Kosovo: S/RES/1244 (1999))","2012","2328","0","2328","0"
"United Kingdom","Seychelles","2012","1","0","1","0"
"United Kingdom","Sierra Leone","2012","641","0","641","0"
"United Kingdom","Singapore","2012","1","0","1","0"
"United Kingdom","Slovakia","2012","1","0","1","0"
"United Kingdom","Somalia","2012","15132","0","15132","0"
"United Kingdom","South Africa","2012","119","0","119","0"
"United Kingdom","Sri Lanka","2012","4475","0","4475","0"
"United Kingdom","State of Palestine","2012","285","0","285","0"
"United Kingdom","Stateless","2012","712","0","712","0"
"United Kingdom","Sudan","2012","3748","0","3748","0"
"United Kingdom","Swaziland","2012","15","0","15","0"
"United Kingdom","Syrian Arab Rep.","2012","1713","0","1713","0"
"United Kingdom","Tajikistan","2012","3","0","3","0"
"United Kingdom","Thailand","2012","24","0","24","0"
"United Kingdom","The former Yugoslav Rep. of Macedonia","2012","83","0","83","0"
"United Kingdom","Togo","2012","48","0","48","0"
"United Kingdom","Trinidad and Tobago","2012","22","0","22","0"
"United Kingdom","Tunisia","2012","32","0","32","0"
"United Kingdom","Turkey","2012","4171","0","4171","0"
"United Kingdom","Turkmenistan","2012","37","0","37","0"
"United Kingdom","Tuvalu","2012","1","0","1","0"
"United Kingdom","Uganda","2012","1270","0","1270","0"
"United Kingdom","Ukraine","2012","192","0","192","0"
"United Kingdom","United Arab Emirates","2012","7","0","7","0"
"United Kingdom","United Kingdom","2012","8","0","8","0"
"United Kingdom","United Rep. of Tanzania","2012","85","0","85","0"
"United Kingdom","United States","2012","14","0","14","0"
"United Kingdom","Uzbekistan","2012","51","0","51","0"
"United Kingdom","Various","2012","34252","0","34252","0"
"United Kingdom","Venezuela (Bolivarian Republic of)","2012","17","0","17","0"
"United Kingdom","Viet Nam","2012","908","0","908","0"
"United Kingdom","Western Sahara","2012","6","0","6","0"
"United Kingdom","Yemen","2012","210","0","210","0"
"United Kingdom","Zambia","2012","39","0","39","0"
"United Kingdom","Zimbabwe","2012","12155","0","12155","0"
"Austria","Afghanistan","2011","8636","0","8636","0"
"Austria","Albania","2011","169","0","169","0"
"Austria","Algeria","2011","41","0","41","0"
"Austria","Angola","2011","179","0","179","0"
"Austria","Armenia","2011","930","0","930","0"
"Austria","Azerbaijan","2011","407","0","407","0"
"Austria","Bangladesh","2011","82","0","82","0"
"Austria","Belarus","2011","100","0","100","0"
"Austria","Benin","2011","5","0","5","0"
"Austria","Bhutan","2011","1","0","1","0"
"Austria","Bolivia (Plurinational State of)","2011","15","0","15","0"
"Austria","Bosnia and Herzegovina","2011","215","0","215","0"
"Austria","Brazil","2011","1","0","1","0"
"Austria","Bulgaria","2011","6","0","6","0"
"Austria","Burkina Faso","2011","10","0","10","0"
"Austria","Burundi","2011","21","0","21","0"
"Austria","Cambodia","2011","2","0","2","0"
"Austria","Cameroon","2011","211","0","211","0"
"Austria","Chad","2011","3","0","3","0"
"Austria","China","2011","281","0","281","0"
"Austria","Colombia","2011","20","0","20","0"
"Austria","Congo","2011","119","0","119","0"
"Austria","Côte d'Ivoire","2011","54","0","54","0"
"Austria","Croatia","2011","8","0","8","0"
"Austria","Cuba","2011","23","0","23","0"
"Austria","Czech Rep.","2011","1","0","1","0"
"Austria","Dem. Rep. of the Congo","2011","434","0","434","0"
"Austria","Egypt","2011","59","0","59","0"
"Austria","Equatorial Guinea","2011","1","0","1","0"
"Austria","Eritrea","2011","76","0","76","0"
"Austria","Estonia","2011","3","0","3","0"
"Austria","Ethiopia","2011","139","0","139","0"
"Austria","France","2011","1","0","1","0"
"Austria","Gambia","2011","83","0","83","0"
"Austria","Georgia","2011","774","0","774","0"
"Austria","Ghana","2011","35","0","35","0"
"Austria","Guatemala","2011","5","0","5","0"
"Austria","Guinea","2011","67","0","67","0"
"Austria","Guinea-Bissau","2011","2","0","2","0"
"Austria","India","2011","48","0","48","0"
"Austria","Iraq","2011","2622","0","2622","0"
"Austria","Islamic Rep. of Iran","2011","2509","0","2509","0"
"Austria","Israel","2011","2","0","2","0"
"Austria","Jordan","2011","9","0","9","0"
"Austria","Kazakhstan","2011","42","0","42","0"
"Austria","Kenya","2011","20","0","20","0"
"Austria","Kuwait","2011","1","0","1","0"
"Austria","Kyrgyzstan","2011","244","0","244","0"
"Austria","Lao People's Dem. Rep.","2011","1","0","1","0"
"Austria","Latvia","2011","2","0","2","0"
"Austria","Lebanon","2011","44","0","44","0"
"Austria","Liberia","2011","27","0","27","0"
"Austria","Libya","2011","5","0","5","0"
"Austria","Madagascar","2011","4","0","4","0"
"Austria","Mali","2011","1","0","1","0"
"Austria","Mauritania","2011","6","0","6","0"
"Austria","Mexico","2011","1","0","1","0"
"Austria","Mongolia","2011","157","0","157","0"
"Austria","Montenegro","2011","13","0","13","0"
"Austria","Morocco","2011","13","0","13","0"
"Austria","Myanmar","2011","11","0","11","0"
"Austria","Nepal","2011","38","0","38","0"
"Austria","Niger","2011","1","0","1","0"
"Austria","Nigeria","2011","288","0","288","0"
"Austria","Pakistan","2011","74","0","74","0"
"Austria","Peru","2011","2","0","2","0"
"Austria","Philippines","2011","7","0","7","0"
"Austria","Rep. of Korea","2011","2","0","2","0"
"Austria","Rep. of Moldova","2011","143","0","143","0"
"Austria","Romania","2011","37","0","37","0"
"Austria","Russian Federation","2011","18473","0","18473","0"
"Austria","Rwanda","2011","41","0","41","0"
"Austria","Senegal","2011","4","0","4","0"
"Austria","Serbia (and Kosovo: S/RES/1244 (1999))","2011","3290","0","3290","0"
"Austria","Sierra Leone","2011","44","0","44","0"
"Austria","Slovakia","2011","4","0","4","0"
"Austria","Somalia","2011","1473","0","1473","0"
"Austria","South Africa","2011","5","0","5","0"
"Austria","Sri Lanka","2011","31","0","31","0"
"Austria","Stateless","2011","535","0","535","0"
"Austria","Sudan","2011","237","0","237","0"
"Austria","Syrian Arab Rep.","2011","903","0","903","0"
"Austria","Tajikistan","2011","50","0","50","0"
"Austria","The former Yugoslav Rep. of Macedonia","2011","168","0","168","0"
"Austria","Togo","2011","28","0","28","0"
"Austria","Tunisia","2011","9","0","9","0"
"Austria","Turkey","2011","1329","0","1329","0"
"Austria","Turkmenistan","2011","14","0","14","0"
"Austria","Uganda","2011","17","0","17","0"
"Austria","Ukraine","2011","308","0","308","0"
"Austria","United Rep. of Tanzania","2011","2","0","2","0"
"Austria","United States","2011","1","0","1","0"
"Austria","Uzbekistan","2011","130","0","130","0"
"Austria","Various","2011","315","0","315","0"
"Austria","Viet Nam","2011","37","0","37","0"
"Austria","Yemen","2011","10","0","10","0"
"Austria","Zimbabwe","2011","22","0","22","0"
"Belgium","Afghanistan","2011","785","0","785","0"
"Belgium","Albania","2011","228","0","228","0"
"Belgium","Algeria","2011","37","0","37","0"
"Belgium","Angola","2011","120","0","120","0"
"Belgium","Armenia","2011","64","0","64","0"
"Belgium","Azerbaijan","2011","29","0","29","0"
"Belgium","Bangladesh","2011","9","0","9","0"
"Belgium","Belarus","2011","63","0","63","0"
"Belgium","Benin","2011","10","0","10","0"
"Belgium","Bhutan","2011","2","0","2","0"
"Belgium","Bolivia (Plurinational State of)","2011","4","0","4","0"
"Belgium","Bosnia and Herzegovina","2011","51","0","51","0"
"Belgium","Bulgaria","2011","22","0","22","0"
"Belgium","Burkina Faso","2011","27","0","27","0"
"Belgium","Burundi","2011","274","0","274","0"
"Belgium","Cambodia","2011","13","0","13","0"
"Belgium","Cameroon","2011","324","0","324","0"
"Belgium","Central African Rep.","2011","17","0","17","0"
"Belgium","Chad","2011","51","0","51","0"
"Belgium","Chile","2011","58","0","58","0"
"Belgium","China","2011","603","0","603","0"
"Belgium","Colombia","2011","39","0","39","0"
"Belgium","Congo","2011","35","0","35","0"
